ID	Log2FoldChange	PValue
ENSG00000152583	-4.61	1.33E-101
ENSG00000148175	-1.43	1.43E-57
ENSG00000179094	-3.18	5.72E-53
ENSG00000134686	-1.39	3.02E-48
ENSG00000125148	-2.2	1.94E-46
ENSG00000120129	-2.95	4.73E-46
ENSG00000189221	-3.31	8.59E-45
ENSG00000109906	-7.14	7.36E-44
ENSG00000178695	2.5	7.2E-42
ENSG00000101347	-3.86	1.66E-40
ENSG00000196517	2.23	1.46E-39
ENSG00000162614	-2.03	1.34E-38
ENSG00000096060	-3.94	9.7E-38
ENSG00000162616	-1.53	1.14E-33
ENSG00000166741	-2.11	1.66E-32
ENSG00000116584	1.01	1E-30
ENSG00000183044	-1.16	3.14E-30
ENSG00000144369	1.35	6.03E-29
ENSG00000164125	-1.13	8.95E-29
ENSG00000198624	-2.9	9.58E-28
ENSG00000276600	1.84	5.32E-27
ENSG00000108821	1.3	6.6E-27
ENSG00000256235	-1.27	1.37E-26
ENSG00000077684	-1.21	1.58E-26
ENSG00000135821	-3	2.29E-26
ENSG00000164647	-1.56	3.98E-26
ENSG00000114098	-1.36	9.83E-26
ENSG00000163884	-4.56	1.19E-25
ENSG00000162692	3.6	1.56E-25
ENSG00000139132	-2.26	1.56E-25
ENSG00000181467	1.29	8.07E-25
ENSG00000123562	-1.02	1.2E-24
ENSG00000145777	2.79	3.11E-24
ENSG00000165995	-3.3	9.26E-24
ENSG00000116285	-2.44	1.28E-23
ENSG00000163491	2.47	1.75E-23
ENSG00000183160	1.17	2.27E-23
ENSG00000163697	-1.09	7.24E-23
ENSG00000177666	-1.11	1.05E-22
ENSG00000103196	-2.7	1.13E-22
ENSG00000119138	-2.11	2.59E-22
ENSG00000141401	-2.34	4.35E-22
ENSG00000157150	-2.95	4.64E-22
ENSG00000166482	0.96	5.5E-22
ENSG00000139289	1	6.08E-22
ENSG00000185950	-2.17	8.16E-22
ENSG00000172986	1.57	1.47E-21
ENSG00000158246	-2.33	1.91E-21
ENSG00000133142	-1.55	5.02E-21
ENSG00000211445	-3.74	7.2E-21
ENSG00000164484	1.21	4.2E-20
ENSG00000131389	2.13	2.81E-19
ENSG00000132356	-0.87	4.25E-19
ENSG00000197043	-0.92	5.21E-19
ENSG00000157110	-0.89	5.52E-19
ENSG00000161647	-1.6	6.9E-19
ENSG00000134253	1.97	7.62E-19
ENSG00000110756	-1.59	1.19E-18
ENSG00000157514	-3.33	1.48E-18
ENSG00000132970	-1.1	1.54E-18
ENSG00000250978	-6.29	1.69E-18
ENSG00000124766	2.36	2.39E-18
ENSG00000177283	-2.54	2.97E-18
ENSG00000157613	0.98	2.97E-18
ENSG00000103502	-0.82	2.97E-18
ENSG00000163110	-1.58	3.22E-18
ENSG00000151726	-1.6	6.6E-18
ENSG00000227051	1.14	7.97E-18
ENSG00000169738	-2.14	1.53E-17
ENSG00000196975	-1.19	1.54E-17
ENSG00000146006	4.19	2.06E-17
ENSG00000174306	-1.14	2.29E-17
ENSG00000154734	-2.3	2.31E-17
ENSG00000118689	-1.3	2.32E-17
ENSG00000221869	-1.5	3.59E-17
ENSG00000072958	-1.1	3.59E-17
ENSG00000112837	1.8	3.86E-17
ENSG00000157214	-1.99	3.86E-17
ENSG00000067369	0.8	5.53E-17
ENSG00000185432	-2.32	6.8E-17
ENSG00000128311	-1.29	6.8E-17
ENSG00000113456	-0.83	6.91E-17
ENSG00000173838	-3.85	7.15E-17
ENSG00000146592	2.01	1.21E-16
ENSG00000108830	2.34	1.97E-16
ENSG00000137672	-1.96	1.99E-16
ENSG00000179593	-9.6	2.41E-16
ENSG00000246430	-2.06	2.49E-16
ENSG00000106976	1.75	2.85E-16
ENSG00000181061	-1.29	4.66E-16
ENSG00000169715	-2.14	5.59E-16
ENSG00000112773	1.19	5.59E-16
ENSG00000143320	1.68	1.17E-15
ENSG00000128923	-1.04	1.33E-15
ENSG00000150907	-2.29	1.89E-15
ENSG00000131871	-0.68	2.66E-15
ENSG00000103064	-1.47	2.73E-15
ENSG00000163513	-1.45	2.77E-15
ENSG00000162704	-0.89	3.06E-15
ENSG00000162426	-1.32	3.29E-15
ENSG00000187193	-3.16	5.71E-15
ENSG00000134243	-2.23	1.26E-14
ENSG00000051108	-0.75	1.34E-14
ENSG00000105516	1.68	1.46E-14
ENSG00000020577	-1.21	1.9E-14
ENSG00000167549	-2.36	1.94E-14
ENSG00000101342	-4.17	2.18E-14
ENSG00000183722	-0.69	2.5E-14
ENSG00000087448	-1.06	3.02E-14
ENSG00000135862	-0.81	3.18E-14
ENSG00000120690	-0.92	3.27E-14
ENSG00000253368	-1.97	3.44E-14
ENSG00000099860	-1.45	4.28E-14
ENSG00000145685	1.24	4.43E-14
ENSG00000157152	-3.45	4.84E-14
ENSG00000099337	-2.89	6.34E-14
ENSG00000233117	-3.5	6.52E-14
ENSG00000089041	1.96	6.9E-14
ENSG00000119139	-1.98	1.06E-13
ENSG00000173068	0.87	1.06E-13
ENSG00000103485	1.19	1.06E-13
ENSG00000049246	2.23	1.12E-13
ENSG00000130066	-1.32	1.32E-13
ENSG00000115419	-1.19	1.6E-13
ENSG00000100784	2.25	1.65E-13
ENSG00000077254	-0.9	1.66E-13
ENSG00000198795	1	1.91E-13
ENSG00000146250	2.71	2.51E-13
ENSG00000138316	2.41	2.65E-13
ENSG00000127824	1.55	4.41E-13
ENSG00000170214	-3.69	5.6E-13
