sample	sepal length (cm)	type
iris_0	5.1	Acidobacteria
iris_1	4.9	Acidobacteria
iris_2	4.7	Acidobacteria
iris_3	4.6	Acidobacteria
iris_4	5	Acidobacteria
iris_5	5.4	Acidobacteria
iris_6	4.6	Acidobacteria
iris_7	5	Acidobacteria
iris_8	4.4	Acidobacteria
iris_9	4.9	Acidobacteria
iris_10	5.4	Acidobacteria
iris_11	4.8	Acidobacteria
iris_12	4.8	Acidobacteria
iris_13	4.3	Acidobacteria
iris_14	5.8	Acidobacteria
iris_15	5.7	Acidobacteria
iris_16	5.4	Acidobacteria
iris_17	5.1	Acidobacteria
iris_18	5.7	Acidobacteria
iris_19	5.1	Proteobacteria
iris_20	5.4	Proteobacteria
iris_21	5.1	Proteobacteria
iris_22	4.6	Proteobacteria
iris_23	5.1	Proteobacteria
iris_24	4.8	Proteobacteria
iris_25	5	Proteobacteria
iris_26	5	Proteobacteria
iris_27	5.2	Proteobacteria
iris_28	5.2	Proteobacteria
iris_29	4.7	Proteobacteria
iris_30	4.8	Proteobacteria
iris_31	5.4	Proteobacteria
iris_32	5.2	Proteobacteria
iris_33	5.5	Proteobacteria
iris_34	4.9	Proteobacteria
iris_35	5	Proteobacteria
iris_36	5.5	Proteobacteria
iris_37	4.9	Proteobacteria
iris_38	4.4	Proteobacteria
iris_39	5.1	Proteobacteria
iris_40	5	Proteobacteria
iris_41	4.5	Proteobacteria
iris_42	4.4	Proteobacteria
iris_43	5	Verrucomicrobia
iris_44	5.1	Verrucomicrobia
iris_45	4.8	Verrucomicrobia
iris_46	5.1	Verrucomicrobia
iris_47	4.6	Verrucomicrobia
iris_48	5.3	Verrucomicrobia
iris_49	5	Verrucomicrobia
iris_50	7	Verrucomicrobia
iris_51	6.4	Verrucomicrobia
iris_52	6.9	Verrucomicrobia
iris_53	5.5	Verrucomicrobia
iris_54	6.5	Verrucomicrobia
iris_55	5.7	Verrucomicrobia
iris_56	6.3	Verrucomicrobia
iris_57	4.9	Verrucomicrobia
iris_58	6.6	Verrucomicrobia
iris_59	5.2	Verrucomicrobia
iris_60	5	Verrucomicrobia
iris_61	5.9	Verrucomicrobia
iris_62	6	Verrucomicrobia
iris_63	6.1	Verrucomicrobia
iris_64	5.6	Verrucomicrobia
iris_65	6.7	Verrucomicrobia
iris_66	5.6	Verrucomicrobia
iris_67	5.8	Verrucomicrobia
iris_68	6.2	Chloroflexi
iris_69	5.6	Chloroflexi
iris_70	5.9	Chloroflexi
iris_71	6.1	Chloroflexi
iris_72	6.3	Chloroflexi
iris_73	6.1	Chloroflexi
iris_74	6.4	Chloroflexi
iris_75	6.6	Chloroflexi
iris_76	6.8	Chloroflexi
iris_77	6.7	Chloroflexi
iris_78	6	Chloroflexi
iris_79	5.7	Chloroflexi
iris_80	5.5	Chloroflexi
iris_81	5.5	Chloroflexi
iris_82	5.8	Chloroflexi
iris_83	6	Chloroflexi
iris_84	5.4	Chloroflexi
iris_85	6	Chloroflexi
iris_86	6.7	Chloroflexi
iris_87	6.3	Chloroflexi
iris_88	5.6	Chloroflexi
iris_89	5.5	Chloroflexi
iris_90	5.5	Chloroflexi
iris_91	6.1	Chloroflexi
iris_92	5.8	Chloroflexi
iris_93	5	Chloroflexi
iris_94	5.6	Chloroflexi
iris_95	5.7	Chloroflexi
iris_96	5.7	Chloroflexi
iris_97	6.2	Chloroflexi
iris_98	5.1	Bacteroidetes
iris_99	5.7	Bacteroidetes
iris_100	6.3	Bacteroidetes
iris_101	5.8	Bacteroidetes
iris_102	7.1	Bacteroidetes
iris_103	6.3	Bacteroidetes
iris_104	6.5	Bacteroidetes
iris_105	7.6	Bacteroidetes
iris_106	4.9	Bacteroidetes
iris_107	7.3	Bacteroidetes
iris_108	6.7	Bacteroidetes
iris_109	7.2	Bacteroidetes
iris_110	6.5	Bacteroidetes
iris_111	6.4	Bacteroidetes
iris_112	6.8	Bacteroidetes
iris_113	5.7	Bacteroidetes
iris_114	5.8	Bacteroidetes
iris_115	6.4	Bacteroidetes
iris_116	6.5	Bacteroidetes
iris_117	7.7	Bacteroidetes
iris_118	7.7	Bacteroidetes
iris_119	6	Bacteroidetes
iris_120	6.9	Bacteroidetes
iris_121	5.6	Bacteroidetes
iris_122	7.7	Bacteroidetes
iris_123	6.3	Bacteroidetes
iris_124	6.7	Bacteroidetes
iris_125	7.2	Bacteroidetes
iris_126	6.2	Bacteroidetes
iris_127	6.1	Bacteroidetes
iris_128	6.4	Bacteroidetes
iris_129	7.2	Bacteroidetes
iris_130	7.4	Bacteroidetes
iris_131	7.9	Bacteroidetes
iris_132	6.4	Euryarchaeota
iris_133	6.3	Euryarchaeota
iris_134	6.1	Euryarchaeota
iris_135	7.7	Euryarchaeota
iris_136	6.3	Euryarchaeota
iris_137	6.4	Euryarchaeota
iris_138	6	Euryarchaeota
iris_139	6.9	Euryarchaeota
iris_140	6.7	Euryarchaeota
iris_141	6.9	Euryarchaeota
iris_142	5.8	Euryarchaeota
iris_143	6.8	Euryarchaeota
iris_144	6.7	Euryarchaeota
iris_145	6.7	Euryarchaeota
iris_146	6.3	Euryarchaeota
iris_147	6.5	Euryarchaeota
iris_148	6.2	Euryarchaeota
iris_149	5.9	Euryarchaeota
