sample	Temperature	Salinity	Oxygen	P	N	Si	PAR	Okubo	Lyapunov	Grad	MLD	Fluorescene
Temperature	1	0.925666331	0.2348618	0.803834094	0.617567234	0.30951847	0.582308205	-0.130934713	-0.959697335	0.491373499	0.411290183	0.987106074
Salinity	0.925666331	1	-0.869096195	0.121279092	0.786582824	0.396936858	0.544344801	0.476952026	-0.450166882	0.992001062	-0.568928585	-0.103432958
Oxygen	0.2348618	-0.869096195	1	0.737788584	0.146719275	-0.169070208	-0.146272758	0.750672794	0.096877099	-0.414675438	-0.045166078	-0.998992636
P	0.803834094	0.121279092	0.737788584	1	0.082897887	-0.296684786	-0.375952334	-0.460820123	0.9717729	-0.854068596	0.968601485	0.63353326
N	0.617567234	0.786582824	0.146719275	0.082897887	1	-0.598371926	0.844384207	0.760561286	0.63944098	0.372051864	0.928408273	0.211054268
Si	0.30951847	0.396936858	-0.169070208	-0.296684786	-0.598371926	1	0.240385043	-0.520619101	-0.776054204	-0.259307981	-0.360749226	0.048755297
PAR	0.582308205	0.544344801	-0.146272758	-0.375952334	0.844384207	0.240385043	1	-0.043335038	0.687990461	0.555557822	-0.976327632	0.012277429
Okubo	-0.130934713	0.476952026	0.750672794	-0.460820123	0.760561286	-0.520619101	-0.043335038	1	-0.893579111	-0.596369088	0.253578333	0.188025724
Lyapunov	-0.959697335	-0.450166882	0.096877099	0.9717729	0.63944098	-0.776054204	0.687990461	-0.893579111	1	-0.876356073	-0.099727894	-0.064101209
Grad	0.491373499	0.992001062	-0.414675438	-0.854068596	0.372051864	-0.259307981	0.555557822	-0.596369088	-0.876356073	1	0.350587763	0.734762912
MLD	0.411290183	-0.568928585	-0.045166078	0.968601485	0.928408273	-0.360749226	-0.976327632	0.253578333	-0.099727894	0.350587763	1	-0.199719887
Fluorescene	0.987106074	-0.103432958	-0.998992636	0.63353326	0.211054268	0.048755297	0.012277429	0.188025724	-0.064101209	0.734762912	-0.199719887	1
