id	source	target
link-1	Microsoft	Amazon
link-2	Microsoft	HTC
link-3	Samsung	Apple
link-4	Motorola	Apple
link-5	Nokia	Apple
link-6	HTC	Apple
link-7	Kodak	Apple
link-8	Microsoft	Barnes & Noble
link-9	Microsoft	Foxconn
link-10	Oracle	Google
link-11	Apple	HTC
link-12	Microsoft	Inventec
link-13	Samsung	Kodak
link-14	LG	Kodak
link-15	RIM	Kodak
link-16	Sony	LG
link-17	Kodak	LG
link-18	Apple	Nokia
link-19	Qualcomm	Nokia
link-20	Apple	Motorola
link-21	Microsoft	Motorola
link-22	Motorola	Microsoft
link-23	Huawei	ZTE
link-24	Ericsson	ZTE
link-25	Kodak	Samsung
link-26	Apple	Samsung
link-27	Kodak	RIM
link-28	Nokia	Qualcomm
