id	source	target
link_1	OTU_1	OTU_25
link_2	OTU_1	OTU_35
link_3	OTU_1	OTU_58
link_4	OTU_2	OTU_15
link_5	OTU_2	OTU_68
link_6	OTU_2	OTU_105
link_7	OTU_4	OTU_14
link_8	OTU_4	OTU_44
link_9	OTU_4	OTU_93
link_10	OTU_5	OTU_16
link_11	OTU_5	OTU_25
link_12	OTU_5	OTU_44
link_13	OTU_5	OTU_46
link_14	OTU_5	OTU_50
link_15	OTU_5	OTU_59
link_16	OTU_5	OTU_71
link_17	OTU_5	OTU_76
link_18	OTU_5	OTU_90
link_19	OTU_5	OTU_103
link_20	OTU_5	OTU_104
link_21	OTU_5	OTU_116
link_22	OTU_5	OTU_119
link_23	OTU_11	OTU_87
link_24	OTU_11	OTU_110
link_25	OTU_12	OTU_16
link_26	OTU_12	OTU_19
link_27	OTU_12	OTU_34
link_28	OTU_12	OTU_50
link_29	OTU_12	OTU_60
link_30	OTU_12	OTU_65
link_31	OTU_12	OTU_82
link_32	OTU_12	OTU_104
link_33	OTU_12	OTU_119
link_34	OTU_13	OTU_41
link_35	OTU_13	OTU_71
link_36	OTU_13	OTU_89
link_37	OTU_13	OTU_90
link_38	OTU_15	OTU_68
link_39	OTU_15	OTU_105
link_40	OTU_16	OTU_34
link_41	OTU_16	OTU_44
link_42	OTU_16	OTU_46
link_43	OTU_16	OTU_50
link_44	OTU_16	OTU_60
link_45	OTU_16	OTU_76
link_46	OTU_16	OTU_82
link_47	OTU_16	OTU_84
link_48	OTU_16	OTU_103
link_49	OTU_16	OTU_104
link_50	OTU_16	OTU_116
link_51	OTU_16	OTU_119
link_52	OTU_19	OTU_50
link_53	OTU_19	OTU_60
link_54	OTU_19	OTU_65
link_55	OTU_19	OTU_82
link_56	OTU_19	OTU_119
link_57	OTU_23	OTU_71
link_58	OTU_23	OTU_89
link_59	OTU_23	OTU_99
link_60	OTU_23	OTU_123
link_61	OTU_23	OTU_126
link_62	OTU_24	OTU_47
link_63	OTU_24	OTU_86
link_64	OTU_25	OTU_35
link_65	OTU_25	OTU_59
link_66	OTU_27	OTU_32
link_67	OTU_27	OTU_62
link_68	OTU_27	OTU_105
link_69	OTU_27	OTU_120
link_70	OTU_28	OTU_43
link_71	OTU_29	OTU_38
link_72	OTU_29	OTU_48
link_73	OTU_29	OTU_114
link_74	OTU_29	OTU_125
link_75	OTU_31	OTU_77
link_76	OTU_32	OTU_75
link_77	OTU_32	OTU_95
link_78	OTU_32	OTU_105
link_79	OTU_34	OTU_50
link_80	OTU_34	OTU_60
link_81	OTU_34	OTU_65
link_82	OTU_34	OTU_82
link_83	OTU_34	OTU_119
link_84	OTU_35	OTU_58
link_85	OTU_35	OTU_59
link_86	OTU_35	OTU_125
link_87	OTU_38	OTU_43
link_88	OTU_38	OTU_48
link_89	OTU_38	OTU_74
link_90	OTU_38	OTU_114
link_91	OTU_41	OTU_71
link_92	OTU_41	OTU_89
link_93	OTU_43	OTU_109
link_94	OTU_43	OTU_125
link_95	OTU_44	OTU_46
link_96	OTU_44	OTU_59
link_97	OTU_44	OTU_76
link_98	OTU_44	OTU_82
link_99	OTU_44	OTU_90
link_100	OTU_44	OTU_103
link_101	OTU_44	OTU_104
link_102	OTU_44	OTU_116
link_103	OTU_44	OTU_119
link_104	OTU_45	OTU_71
link_105	OTU_46	OTU_59
link_106	OTU_46	OTU_76
link_107	OTU_46	OTU_82
link_108	OTU_46	OTU_90
link_109	OTU_46	OTU_103
link_110	OTU_46	OTU_104
link_111	OTU_46	OTU_116
link_112	OTU_46	OTU_119
link_113	OTU_46	OTU_125
link_114	OTU_47	OTU_86
link_115	OTU_48	OTU_114
link_116	OTU_48	OTU_127
link_117	OTU_50	OTU_60
link_118	OTU_50	OTU_65
link_119	OTU_50	OTU_82
link_120	OTU_50	OTU_90
link_121	OTU_50	OTU_103
link_122	OTU_50	OTU_104
link_123	OTU_50	OTU_119
link_124	OTU_51	OTU_54
link_125	OTU_52	OTU_67
link_126	OTU_54	OTU_62
link_127	OTU_56	OTU_92
link_128	OTU_57	OTU_122
link_129	OTU_59	OTU_103
link_130	OTU_59	OTU_116
link_131	OTU_59	OTU_125
link_132	OTU_60	OTU_65
link_133	OTU_60	OTU_82
link_134	OTU_61	OTU_72
link_135	OTU_62	OTU_105
link_136	OTU_62	OTU_112
link_137	OTU_62	OTU_120
link_138	OTU_63	OTU_107
link_139	OTU_65	OTU_82
link_140	OTU_66	OTU_125
link_141	OTU_68	OTU_75
link_142	OTU_68	OTU_105
link_143	OTU_69	OTU_78
link_144	OTU_71	OTU_82
link_145	OTU_71	OTU_89
link_146	OTU_71	OTU_90
link_147	OTU_71	OTU_104
link_148	OTU_74	OTU_114
link_149	OTU_75	OTU_105
link_150	OTU_76	OTU_82
