sample_id	Feature-1	Feature-2	Feature-3	Feature-4
1	-1.402200113	-1.732142511	0	-2.591084859
2	-1.335323762	-1.486353154	-1.324856999	-1.699098097
3	0	-1.399732082	-1.63016247	0
4	-0.903415694	-0.254882985	-0.546998901	-0.597567005
5	0.019819848	0.469895444	0.190689988	0.356575711
6	-1.759466651	-1.994058423	0	0
7	-2.169183274	0	-2.217106114	0
8	-0.26396497	-0.099266698	-0.40410991	-0.276598621
9	-0.264594783	0.277123246	0.012554159	0.078828112
10	-1.853500894	-2.459520738	-2.414189381	-1.990193952
11	-1.035084877	-0.888761733	-0.666644491	-1.952186007
12	0.024284655	0.237310509	-0.154377446	0.023453161
13	-0.782360438	-0.205656697	-0.464082684	-0.951578948
14	-0.370618283	-0.138351241	-0.595411373	-0.72134984
15	-2.031851494	-1.514918266	-2.043468768	-1.918076968
16	0	0	-1.992149377	0
17	-0.793107555	-0.395477197	-0.527596449	-0.922548195
18	-1.820482391	-1.41029451	-2.099987444	-1.9041581
19	0	-1.425842249	0	-0.979903535
20	1.425811098	1.6667257	0.95538915	1.410303383
21	-1.241351564	-1.208052358	-0.898194627	-1.400496305
22	-1.864464644	-1.595633418	-1.592583702	-1.83213571
23	-2.082929791	-1.997072754	0	-1.858792433
24	-0.873456572	-0.753518131	-0.91154516	-0.910730981
25	-1.964895644	-1.532961956	-1.183052422	0
26	0.106556083	0.087982603	0.227392635	0.135826324
27	-0.895134361	-0.587293219	-1.349305971	-1.164627245
28	-0.553631521	-0.577444779	-0.800059355	-0.938264685
29	0	-2.576317593	0	0
30	-1.484283338	-1.118995394	-1.464166866	-1.508206496
31	-1.139131538	-1.271964344	-2.142972823	-1.956681861
32	0	-2.211209492	0	-2.184795281
33	-1.570766697	-1.331123049	-1.856290073	0
34	-1.398351948	-1.481074268	-1.329375325	-1.302591064
35	-1.857405888	-1.78764601	-1.989949113	-1.53149929
36	-2.179979852	-1.468232437	-1.524391128	-2.038094617
37	-1.767954281	-0.904962537	-2.030465605	-1.809943676
38	-1.013908321	-1.269057896	-0.878527742	-1.584744269
39	0.831320319	0.545914662	0.643860411	0.436990057
40	-1.213274338	-1.187674013	0	0
41	0	-1.845368638	0	0
42	-1.482944379	-1.51829365	0	0
43	-0.358020163	-0.058826394	-0.372046578	-0.134003921
44	-1.595617363	-1.777877488	0	0
45	-0.787890549	-0.504872583	-0.690001977	-1.04570576
46	-1.630022457	-1.841475221	-1.524351369	-1.884650077
47	1.682655215	1.743573701	1.654526456	1.561946403
48	-0.848576318	-0.860908878	-1.048244802	-0.667005095
49	-0.925813923	-0.821105784	-0.769376234	-1.269402048
50	-1.874336857	-1.250216726	-1.207019205	0
51	-1.606331648	-1.887967867	-1.56362158	-1.435276641
52	-1.345185783	-0.826366208	-1.043133464	-1.068004822
53	-1.349652372	-1.385671608	-1.197677087	-1.562702402
54	-1.650376302	0	0	0
55	-1.668878295	-1.831587527	-1.633025344	-1.922914242
56	-2.057500009	0	0	0
57	-1.408001584	-1.203702142	-1.525323467	-1.627777416
58	-1.197645759	-0.72798781	-1.157837633	-2.097508122
59	-0.01297772	-0.040164454	-0.051768491	-0.14300252
60	0	-2.028031225	0	-2.300053584
61	-0.624576622	-0.540913016	-0.631413801	-0.730356927
62	-2.157447297	-1.31358171	-1.393168288	-1.571416073
63	0	-2.448950445	0	-2.21786204
64	-0.882115731	-1.237003318	-1.217808325	-1.183933003
65	-1.99117465	0	0	0
66	-1.95408432	-1.321299137	0	0
67	0.448115284	0.72098212	0.805652851	0.58963897
68	0	-1.702883422	0	-1.899298793
69	0	0	0	-1.755584991
70	-2.208583836	-2.501132941	0	0
71	-0.058550611	-0.017466169	-0.153540443	-0.245750777
72	0	0	-1.109325286	0
73	1.557017726	1.639714035	1.480918151	1.538749285
74	2.094056443	2.164037515	2.018668889	2.143727474
75	0.337619886	0.372544279	0.30163221	0.380048107
76	-0.399185165	-0.217081977	-0.172932298	-0.425942161
77	-2.317665266	-2.567667232	-2.561793351	0
78	0	0	-2.056560096	0
79	-0.281432494	-0.189582338	-0.416870992	-0.775718103
80	-1.901624062	-1.573191519	-1.797494355	-2.662824371
81	1.398928339	1.433761959	1.272488012	1.214245225
82	-1.346738829	-1.003794381	-1.273082012	-1.056700659
83	-1.234473683	-0.994088163	-1.237786042	-1.440109503
84	-1.402911748	-1.05790735	-1.333632982	-1.525900428
85	0	-1.841013146	-1.660864347	0
86	-1.436003383	-1.243745676	-2.028102479	0
87	-1.322496013	0	0	0
88	-1.072105176	-1.211282565	-1.399718989	-2.032368964
89	-0.736023138	-0.408818949	-0.794102318	-0.707779024
90	0	0	-1.119549601	0
91	-0.572841795	-0.238570536	-0.464646912	-0.605549023
92	0.228751378	0.292375295	0.330579596	0.30767931
93	-1.263125829	0	-1.527808735	-1.944084981
94	-1.713423296	-1.45107644	-2.176879937	-1.757399817
95	2.48985682	2.479322167	2.484019909	2.440276806
96	-0.859974358	-0.797138998	-1.113139938	-1.094400692
97	-1.718056319	0	0	0
98	-0.245169264	-0.160335181	-0.18157672	-0.486224877
99	0	0	-2.529149116	0
