sample,Almost Certainly,Highly Likely,Very Good Chance,Better Than Even,About Even,Almost No Chance,Highly Unlikely,Chances Are Slight
1,95,80,85,55,50,5,25,25
2,95,75,75,51,50,5,10,5
3,95,85,85,60,50,1,5,15
4,95,85,85,60,50,1,5,15
5,98,95,80,60,50,1,2,10
6,95,99,85,65,50,1,3,20
7,85,95,65,60,45,10,20,30
8,97,95,75,55,50,3,5,10
9,95,95,80,55,50,5,15,10
10,90,85,90,60,52,10,6,25
11,90,90,85,60,50,15,10,15
12,99,97,70,67,50,2,3,5
13,60,80,70,55,50,5,5,15
14,88.7,69,80,5,50,2,3,5
15,99,98,85,65,50,95,90,35
16,95,90,80,60,50,1,5,10
17,97,90,70,51,50,2,7,5
18,99,95,75,55,50,1,5,40
19,95,95,90,60,50,5,5,10
20,95,90,75,50.1,50,5,5,10
21,90,80,80,60,50,5,5,5
22,92,85,75,57,50,3,3,13
23,98,90,75,60,49,5,5,5
24,98,92,91,60,50,2,3,10
25,90,90,75,60,50,2,10,20
26,95,85,80,60,50,2,5,5
27,95,90,80,51,50,5,20,10
28,98,95,75,98,50,2,5,5
29,85,85,90,51,50,1,15,15
30,80,15,74,60,50,7,15,30
31,98,80,75,55,50,1,8,15
32,96,85,80,60,50,10,5,12
33,99,85,75,51,50,0.05,10,5
34,85,84,87,60,50,5,15,30
35,90,95,80,80,40,2,2,30
36,95,85,80,80,50,2,5,5
37,98,96,90,53,50,1,5,10
38,98,96,82,69,52,7,3,13
39,80,90,70,60,50,1,10,10
40,95,90,90,55,48,5,8,10
41,99,90,80,60,50,1,30,15
42,85,80,80,51,45,5,15,20
43,90,70,80,60,50,2,10,10
44,95,80,90,60,50,1,5,5
45,85,90,75,55,50,2,5,10
46,95,80,75,51,49,5,10,15
